,ID,Year_Birth,Education,Marital_Status,Income,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country,Age,Dependent,Monetary,Frequency,Generation,Segment
0,1826,1970,Graduation,Divorced,84835.0,2449,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,1,0,SP,51,0,1190,15,Gen X,Loyal
1,1,1961,Graduation,Single,57091.0,2450,0,464,5,64,7,0,37,1,7,3,7,5,0,0,0,0,1,1,0,CA,60,0,577,18,Boomers,Loyal
2,10476,1958,Graduation,Married,67267.0,2483,0,134,11,59,15,2,30,1,3,2,5,2,0,0,0,0,0,0,0,US,63,1,251,11,Boomers,Need Attention
3,1386,1967,Graduation,Together,32474.0,2485,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,AUS,54,2,11,4,Gen X,Need Attention
4,5371,1989,Graduation,Single,21474.0,2518,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,1,0,SP,32,1,91,8,Milenial,Need Attention
5,7348,1958,PhD,Single,71691.0,2540,0,336,130,411,240,32,43,1,4,7,5,2,0,0,0,0,0,1,0,SP,63,0,1192,17,Boomers,Loyal
6,4073,1954,Master,Married,63564.0,2587,0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,1,0,GER,67,0,1215,28,Boomers,Loyal
7,1991,1967,Graduation,Together,44931.0,2598,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0,SP,54,1,96,7,Gen X,Need Attention
8,4047,1954,PhD,Married,65324.0,2605,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,US,67,1,544,20,Boomers,Loyal
9,9477,1954,PhD,Married,65324.0,2605,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,IND,67,1,544,20,Boomers,Loyal
10,2079,1947,Master,Married,81044.0,2620,0,450,26,535,73,98,26,1,5,6,10,1,0,0,0,0,0,0,0,US,74,0,1208,22,Boomers,Loyal
11,5642,1979,Master,Together,62499.0,2638,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,0,0,SP,42,1,222,12,Gen X,Need Attention
12,10530,1959,PhD,Divorced,67786.0,2640,0,431,82,441,80,20,102,1,3,6,6,1,0,0,0,0,0,1,0,IND,62,0,1156,16,Boomers,Loyal
13,2964,1981,Graduation,Married,26872.0,2692,0,3,10,8,3,16,32,1,1,1,2,6,0,0,0,0,0,0,0,CA,40,0,72,5,Milenial,Need Attention
14,10311,1969,Graduation,Married,4428.0,2703,0,16,4,12,2,4,321,0,25,0,0,1,0,0,0,0,0,0,0,SP,52,1,359,25,Gen X,Loyal
15,837,1977,Graduation,Married,54809.0,2727,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,0,SP,44,2,174,12,Gen X,Need Attention
16,10521,1977,Graduation,Married,54809.0,2727,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,1,0,SP,44,2,174,12,Gen X,Need Attention
17,10175,1958,PhD,Divorced,32173.0,2768,0,18,0,2,0,0,2,1,1,0,3,4,0,0,0,0,0,0,0,SP,63,1,22,5,Boomers,Need Attention
18,1473,1960,Master,Single,47823.0,2777,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,CA,61,1,72,7,Boomers,Need Attention
19,2795,1958,Master,Single,30523.0,2799,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,CA,63,3,13,4,Boomers,Need Attention
20,2285,1954,Master,Together,36634.0,2833,0,213,9,76,4,3,30,3,5,2,5,7,0,0,0,0,0,0,0,SA,67,1,335,15,Boomers,Need Attention
21,115,1966,Master,Single,43456.0,2896,0,275,11,68,25,7,7,3,5,1,8,5,0,0,0,0,0,0,0,IND,55,1,393,17,Gen X,Need Attention
22,10470,1979,Master,Married,40662.0,2907,0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,0,0,0,0,GER,42,1,92,8,Gen X,Need Attention
23,4065,1976,PhD,Married,49544.0,2938,0,308,0,73,0,0,23,2,5,1,8,7,0,0,0,0,0,0,0,SP,45,1,404,16,Gen X,Need Attention
24,10968,1969,Graduation,Single,57731.0,3019,0,266,21,300,65,8,44,4,8,8,6,6,0,0,0,0,0,0,0,IND,52,1,704,26,Gen X,Loyal
25,5985,1965,Master,Single,33168.0,3060,0,80,1,37,0,1,3,3,2,1,4,7,0,0,0,0,0,0,0,SP,56,1,122,10,Gen X,Need Attention
26,5430,1956,Graduation,Together,54450.0,3089,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,SP,65,2,684,31,Boomers,Loyal
27,8432,1956,Graduation,Together,54450.0,3089,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,SP,65,2,684,31,Boomers,Loyal
28,453,1956,PhD,Divorced,35340.0,2436,1,27,0,12,0,1,5,2,2,0,3,5,0,0,0,0,0,0,0,SP,65,2,45,7,Boomers,Need Attention
29,9687,1975,Graduation,Single,73170.0,2465,1,184,174,256,50,30,32,1,5,4,6,2,0,0,0,0,0,0,0,CA,46,0,726,16,Gen X,Loyal
30,8890,1971,PhD,Divorced,65808.0,2466,1,155,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,0,0,SP,50,2,272,14,Gen X,Need Attention
31,9264,1986,Graduation,Married,79529.0,2499,1,423,42,706,73,197,197,1,4,8,9,2,0,0,0,0,0,0,0,CA,35,0,1638,22,Milenial,Loyal
32,5824,1972,PhD,Together,34578.0,2515,1,7,0,1,0,0,0,1,1,0,2,6,0,0,0,0,0,0,0,AUS,49,3,8,4,Gen X,Need Attention
33,5794,1974,PhD,Married,46374.0,2540,1,408,0,21,0,0,17,3,7,1,7,8,0,1,0,1,0,1,0,IND,47,1,446,18,Gen X,Loyal
34,3068,1990,Graduation,Married,18351.0,2679,1,1,12,9,0,14,7,1,2,0,3,7,0,0,0,0,0,0,0,SP,31,0,43,6,Milenial,Need Attention
35,7962,1987,PhD,Single,95169.0,2699,1,1285,21,449,106,20,20,1,4,3,4,1,0,0,1,1,0,1,0,SP,34,0,1901,12,Milenial,Loyal
36,2681,1984,Master,Married,65370.0,2768,1,71,22,112,138,89,29,1,2,3,13,1,0,0,0,0,0,0,0,SP,37,0,461,19,Milenial,Loyal
37,10141,1960,Master,Divorced,39228.0,2851,1,7,1,6,0,3,3,1,0,0,3,4,0,0,0,0,0,0,0,SA,61,0,20,4,Boomers,Need Attention
